	    106.428800       0.000000       0.000000
	      0.000000     106.428800       0.000000
	      0.000000       0.000000     106.428800
   3010 0   2.99331000e+01   6.65180000e+01   1.66295000e+01 0.0
   3011 1   2.99331000e+01   6.98439000e+01   1.33036000e+01 0.0
   3012 1   3.32590000e+01   6.65180000e+01   1.33036000e+01 0.0
   3013 0   3.32590000e+01   6.98439000e+01   1.66295000e+01 0.0
   3014 0   3.65849000e+01   6.65180000e+01   1.66295000e+01 0.0
   3015 1   3.65849000e+01   6.98439000e+01   1.33036000e+01 0.0
   3016 0   3.99108000e+01   6.65180000e+01   1.33036000e+01 0.0
   3017 0   3.99108000e+01   6.98439000e+01   1.66295000e+01 0.0
   3018 0   4.32367000e+01   6.65180000e+01   1.66295000e+01 0.0
   3019 1   4.32367000e+01   6.98439000e+01   1.33036000e+01 0.0
   3020 0   4.65626000e+01   6.65180000e+01   1.33036000e+01 0.0
   3021 1   4.65626000e+01   6.98439000e+01   1.66295000e+01 0.0
   3022 1   4.98885000e+01   6.65180000e+01   1.66295000e+01 0.0
   3023 1   4.98885000e+01   6.98439000e+01   1.33036000e+01 0.0
   3024 0   5.32144000e+01   6.65180000e+01   1.33036000e+01 0.0
